"","IDnum","ageOfTheHouseholdHead","householdSize","farmSize","shareOfHiredLabour","commercializationIndex","totalLaborManDays","farmType","creditaccess","cropChoice","perCapitaIncome","percentNonfarmIncome","wardCode","intensificationStrategies","topgraphicWetnessIndex","distanceToBigMarket","maizePrice","RicePrice"
"211",935,46,8,5.2609181,21.919851,51.42857,127.473,"Diversifier","No","RiceAndMaize",812607.13,34.254246,23,"ApplyFertilizer",16.188538,19.013287,611.11108,1138.2858
"212",922,35,3,1.0117151,1.5831134,35.474007,374.61142,"Subsistence","No","Rice",1851392.3,86.085533,83,"None",16.240372,5.25137,0,1312.6154
"213",1033,53,5,0.70820051,29.319372,37.5,269.69763,"Diversifier","No","RiceAndMaize",266094.47,0,83,"None",17.30777,12.635365,1111.1111,1466.6666
"214",872,70,8,0.1011715,0,18.613138,1897.7676,"Subsistence","No","RiceAndMaize",56785.719,0,241,"None",16.342344,49.563278,777.77777,1104.762
"215",759,46,4,2.0234301,96.610168,63.470318,87.47522,"Diversifier","Yes","RiceMaizeAndVegit",1399863.6,59.099186,101,"UseIrrigationAndFertilizerApplication",25.464638,17.996923,414.28571,1144.301
"216",805,24,6,0.50585753,1.9230769,55.555557,925.16168,"Diversifier","No","VegitAndRice",360155.91,0,121,"None",16.587296,40.361366,0,1232.2581
"217",772,26,3,2.0234301,55,66.666664,148.26309,"Subsistence","No","Rice",889026.81,0,101,"ApplyImprovedSeed",26.612041,14.785169,0,1144.301
"218",998,31,3,1.0117151,72.413795,42.13483,229.31358,"Subsistence","Yes","RiceAndMaize",159888,0,91,"CropMultipleTimes",24.66613,1.8900648,805.68878,1403.9215
"219",782,35,5,3.642174,75.543953,49.603176,315.47092,"Diversifier","No","RiceAndMaize",486714.31,6.0291791,101,"ApplyImprovedSeed",17.503759,34.862686,1000,1040.9524
"220",864,33,3,0.9105435,43.686008,55.555557,643.57166,"Subsistence","No","Rice",350517.22,0,61,"None",18.851658,21.762909,0,1167.816
"221",1026,63,6,2.2257731,0.16293278,0,275.74689,"Subsistence","No","RiceAndMaize",15173.597,0,11,"None",16.240372,3.1588414,676.88849,1247.595
"222",1027,50,11,13.152295,74.709976,49.383072,32.769947,"AgroPastoralist","Yes","RiceAndMaize",1099151.8,0,11,"None",17.875149,13.039379,944.44446,1247.595
"223",960,39,5,4.4515462,63.742851,35.874439,68.721436,"Subsistence","No","Rice",887865.81,0,11,"UseIrrigationAndFertilizerApplication",19.043732,14.385865,0,1247.595
"224",849,53,7,1.9222585,5.036726,37.774376,247.8855,"Diversifier","No","Maize",256857.14,2.5075226,61,"CropMultipleTimes",17.652424,24.36923,861.11108,0
"225",930,54,2,1.0117151,0.57388806,61.842918,688.92914,"Diversifier","No","RiceAndMaize",217902.25,0,83,"None",24.953814,6.0801482,805.68878,1312.6154
"226",855,49,4,2.4281161,26.086956,49.629631,132.6131,"Diversifier","No","RiceAndMaize",2109099,5.2941446,61,"ApplyFertilizer",18.740238,21.982216,861.11108,1167.816
"227",863,49,4,3.3386595,10.895884,62.962963,123.70234,"Subsistence","No","Rice",430350.28,0,61,"None",19.353886,20.091663,0,1167.816
"228",770,41,4,3.642174,52.427185,49.77169,56.559628,"Subsistence","No","Rice",587020.13,0,101,"ApplyImprovedSeed",23.8552,15.809577,0,1144.301
"229",953,41,5,2.3269446,69.478905,43.076923,86.594238,"Subsistence","Yes","VegitAndRice",444028.09,0,11,"CropMultipleTimes",19.060308,14.692819,0,1247.595
"230",932,32,5,0.60702902,0.25974026,66.666672,634.23657,"Subsistence","Yes","Rice",111587.7,55.941887,83,"None",25.176956,4.6154642,0,1312.6154
"231",816,39,6,1.416401,28.813559,60,249.92921,"Subsistence","Yes","Rice",490698.94,72.19796,121,"None",28.849028,40.941902,0,1232.2581
"232",763,53,6,2.4281161,0.083402835,12.446802,493.79846,"Diversifier","No","RiceMaizeAndVegit",169391.23,0,101,"UseIrrigationAndFertilizerApplication",21.396549,18.584782,414.28571,1144.301
"233",843,74,4,3.439831,59.92218,47.080978,74.712975,"Subsistence","No","RiceAndMaize",219465.5,6.0128555,61,"ApplyImprovedSeed",30.07728,15.747684,861.11108,1167.816
"234",860,31,4,6.677319,1.459854,11.606782,41.034431,"Diversifier","No","RiceAndMaize",464991.38,26.738379,61,"None",17.400471,15.116503,861.11108,1167.816
"235",850,52,4,1.821087,21.923986,46.878067,405.75583,"Diversifier","No","Maize",64649.211,0,61,"None",17.370804,24.274155,861.11108,0
"236",775,26,2,1.0117151,0.28490028,100,346.93564,"Subsistence","No","Rice",211552.27,0,101,"None",15.547224,15.450228,0,1144.301
"237",776,63,4,5.0585752,50.746269,22.811272,79.469017,"Diversifier","No","RiceAndMaize",117016.38,0,101,"None",17.84981,17.268314,414.28571,1144.301
"238",878,47,11,8.4984064,1.5310463,46.666668,415.01898,"AgroPastoralist","No","Rice",994415.63,0,241,"None",18.007696,40.958336,0,1104.762
"239",791,73,3,10.319493,39.758553,19.511696,60.201599,"Diversifier","No","RiceMaizeAndVegit",2131333.3,0,101,"None",16.444361,27.083479,1000,1040.9524
"240",926,66,4,0.50585753,41.558441,42.363113,304.43353,"Subsistence","No","Rice",14209.362,0,83,"None",17.045866,4.4194479,0,1312.6154
"241",1047,50,4,0.70820051,31.578947,17.49548,107.31424,"Diversifier","Yes","RiceAndMaize",288271.63,0,83,"CropMultipleTimes",19.184811,3.01794,1111.1111,1466.6666
"242",852,25,3,2.2257731,48.275864,71.337578,208.46689,"Diversifier","Yes","RiceAndMaize",651787.31,0,61,"None",15.88962,21.880701,861.11108,1167.816
"243",755,32,2,0.9105435,54.545456,47.074646,422.8244,"Subsistence","No","Rice",220398.59,0,101,"None",20.577631,19.077848,414.28571,1144.301
"244",896,50,5,0.404686,0.23774146,54.054054,1039.3861,"Subsistence","No","RiceAndMaize",1014612,0,23,"None",27.196295,31.642347,805.68878,1860
"245",909,42,7,0.60702902,0.28248587,64.110428,583.16815,"Subsistence","No","Rice",215933.14,0,23,"CropMultipleTimes",15.142417,23.570866,0,1138.2858
"246",812,32,3,1.214058,81.5047,71.707672,525.51031,"Subsistence","Yes","RiceAndMaize",1112809,45.214462,121,"ApplyFertilizer",25.241495,43.214069,660,1232.2581
"247",1008,38,4,0.80937201,66.666664,57.553425,667.18396,"Subsistence","No","Rice",250487.53,0,91,"None",31.654543,1.9350412,0,1403.9215
"248",873,50,11,8.9030924,0,7.4437823,176.11858,"AgroPastoralist","No","RiceMaizeAndVegit",211561.61,0,241,"None",18.347677,49.334061,777.77777,1104.762
"249",754,46,5,0.9105435,43.826088,33.333336,631.49097,"Subsistence","Yes","VegitAndRice",1421.8079,0,101,"ApplyFertilizer",17.452868,18.226015,0,1144.301
"250",831,27,3,1.1128865,60.60606,56.81818,237.22095,"Diversifier","No","RiceAndMaize",527047.63,0,131,"CropMultipleTimes",22.468906,60.157692,888.88892,1138.0952
"251",808,41,6,2.1246016,73.298431,33.32011,89.899208,"Subsistence","Yes","VegitAndRice",492263.47,0,121,"None",24.241726,43.466721,0,1232.2581
