ageOfTheHouseholdHead	householdSize	farmSize	shareOfHiredLabour	commercializationIndex	totalLabourManDays	farmType	creditaccess	cropChoice	perCapitaIncome	percentNonfarmIncome	topgraphicWetnessIndex	distanceToBigMarket	None	CropMultipleTimes	ApplyFertilizer	ApplyImprovedSeed	UseIrrigationAndFertilizerApplication	UseIrrigation	Other
26	4	9.0100002	23	100	722.96997	 Subsistence	 No	 RiceAndMaize	3568271	28.219999	31.16	36.84	0.399996	0.000002	0.199999	0.399996	0.000002	0.000002	0.000002
55	11	1.02	47	79.690002	569.06	 Diversifier	 Yes	 Maize	2829795	24.190001	28.48	49.439999	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857
25	6	5.6599998	8	82.809998	938.44	 Diversifier	 Yes	 RiceMaizeAndVegit	2386709	40.310001	27.4	34.91	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857
53	9	11.59	36	60.939999	522.89001	 AgroPastoralist	 No	 Rice	565135	73.910004	30.889999	1.97	0.749995	0.000001	0.000001	0.000001	0.000001	0.249999	0.000001
38	6	10.04	11	73.440002	45.779999	 AgroPastoralist	 No	 VegitAndRice	1894392	64.5	26.59	31.030001	0.666654	0.000003	0.333329	0.000003	0.000003	0.000003	0.000003
51	8	4.1100001	5	56.25	784.53003	 Diversifier	 Yes	 RiceMaizeAndVegit	958989	86	24.18	2.9400001	0.000003	0.000003	0.333329	0.000003	0.666654	0.000003	0.000003
45	5	7.98	28	85.940002	61.169998	 Subsistence	 Yes	 VegitAndRice	1008221	55.09	29.82	20.379999	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857
33	7	10.55	88	32.810001	15	 Subsistence	 Yes	 VegitAndRice	1697465	59.130001	26.860001	37.810001	0.000010	0.000010	0.000010	0.999940	0.000010	0.000010	0.000010
52	2	12.62	66	42.189999	553.66998	 Subsistence	 Yes	 RiceMaizeAndVegit	1254379	76.589996	31.700001	63	0.000003	0.000003	0.333329	0.000003	0.666654	0.000003	0.000003
41	7	7.7199998	70	21.879999	122.73	 AgroPastoralist	 No	 VegitAndRice	1057453	44.34	30.360001	50.41	0.666654	0.000003	0.333329	0.000003	0.000003	0.000003	0.000003
49	4	2.8199999	94	45.310001	830.70001	 Diversifier	 No	 RiceAndMaize	811294	81.970001	24.440001	52.34	0.555552	0.111111	0.222222	0.000001	0.111111	0.000001	0.000001
35	9	10.3	91	1.5599999	630.63	 AgroPastoralist	 Yes	 RiceMaizeAndVegit	3272881	49.720001	28.74	25.219999	0.999940	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010
37	3	17	84	48.439999	307.42001	 Diversifier	 Yes	 RiceMaizeAndVegit	2485173	6.7199998	26.33	17.469999	0.999940	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010
24	7	3.8499999	75	3.1300001	876.88	 Diversifier	 No	 VegitAndRice	2534405	37.630001	27.129999	28.129999	0.000010	0.000010	0.000010	0.999940	0.000010	0.000010	0.000010
50	1	3.3399999	63	31.25	476.72	 Diversifier	 No	 Rice	3371344	25.530001	28.209999	9.7200003	0.624996	0.000001	0.000001	0.125000	0.000001	0.249999	0.000001
48	9	15.45	41	18.75	276.64001	 Subsistence	 No	 Maize	3075954	63.16	20.41	55.25	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857
40	5	14.42	0	23.440001	815.31	 Diversifier	 No	 RiceMaizeAndVegit	2140551	83.309998	16.92	41.689999	0.999940	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010
34	10	4.6300001	20	46.880001	107.34	 Diversifier	 Yes	 RiceAndMaize	2780563	67.190002	21.49	44.59	0.399996	0.000002	0.199999	0.399996	0.000002	0.000002	0.000002
30	3	6.6900001	17	7.8099999	692.19	 AgroPastoralist	 Yes	 RiceAndMaize	2435941	53.75	14.77	59.130001	0.399996	0.000002	0.199999	0.399996	0.000002	0.000002	0.000002
28	8	14.94	39	35.939999	799.91998	 Diversifier	 No	 RiceMaizeAndVegit	860526	10.75	22.290001	6.8099999	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857
43	2	11.33	27	10.94	30.389999	 Diversifier	 Yes	 Maize	1106684	33.59	20.139999	10.69	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857	0.142857
46	10	5.4000001	44	4.6900001	599.84003	 Subsistence	 Yes	 Rice	515903	16.129999	22.559999	16.5	0.749995	0.000001	0.000001	0.000001	0.000001	0.249999	0.000001
32	4	1.53	14	28.129999	368.98001	 Subsistence	 Yes	 RiceAndMaize	1648233	14.78	18.530001	24.25	0.399996	0.000002	0.199999	0.399996	0.000002	0.000002	0.000002
