IDnum,ageOfTheHouseholdHead,householdSize,farmSize,shareOfHiredLabour,commercializationIndex,totalLaborManDays,farmType,creditaccess,cropChoice,IfHireLabour,perCapitaIncome,percentNonfarmIncome,wardCode,intensificationStrategies,topgraphicWetnessIndex,distanceToBigMarket,maizePrice,ricePrice
947,40,5,0.68796623,70.481926,100,482.58182,Subsistence,Yes,Rice,Yes,163.14286,45.053329,23,None,24.307262,20.020014,0,1138.2858
948,51,6,1.0117151,2.0270271,61.016949,438.85873,Subsistence,Yes,Rice,Yes,33.138098,0,23,None,18.110004,19.924753,0,1138.2858
949,34,3,0.60702902,63.529411,57.142857,560.10504,Subsistence,No,Rice,Yes,64.274074,0,23,None,18.245523,19.82189,0,1138.2858
950,64,3,1.416401,73.28244,66.091957,277.46381,Diversifier,No,RiceMaizeAndVegit,Yes,3568.271,80.849365,23,None,17.94512,19.918657,611.11108,1138.2858
951,35,5,0.70820051,69.230766,74.78315,367.12766,Subsistence,Yes,VegitAndRice,Yes,40.356176,0,23,None,16.646494,19.516272,0,1138.2858
952,51,6,5.9691186,83.728813,61.211342,49.421032,Subsistence,Yes,Rice,Yes,1521.3946,0,11,UseIrrigation,19.891029,14.589832,0,1247.595
953,41,5,2.3269446,69.478905,43.076923,86.594238,Subsistence,Yes,VegitAndRice,Yes,444.02809,0,11,CropMultipleTimes,19.060308,14.692819,0,1247.595
954,38,6,2.5292876,72.459015,57.290611,120.58732,Subsistence,Yes,Rice,Yes,601.20044,0,11,UseIrrigationAndFertilizerApplication,20.101101,12.77951,0,1247.595
955,48,2,0.80937201,53.846153,75,642.47339,Subsistence,Yes,Rice,Yes,513.77219,0,11,UseIrrigation,17.94512,13.986378,0,1247.595
956,35,3,1.3152295,75.949364,66.666664,360.39337,Diversifier,Yes,Maize,Yes,233.14464,0,11,None,16.99276,4.7152462,944.44446,0
957,51,6,6.2726331,1.2195122,0,156.87192,Subsistence,No,Rice,Yes,175.8298,0,11,None,17.440956,15.455795,0,1247.595
958,47,3,2.0234301,78.39196,73.134331,196.69569,Diversifier,Yes,RiceAndMaize,Yes,267.35294,0,11,ApplyImprovedSeed,18.864561,14.654543,944.44446,1247.595
959,63,10,0.80937201,45.714287,31.578947,172.97362,Subsistence,No,Rice,Yes,180.15317,0,11,ApplyImprovedSeed,19.01296,14.486462,0,1247.595
960,39,5,4.4515462,63.742851,35.874439,68.721436,Subsistence,No,Rice,Yes,887.86581,0,11,UseIrrigationAndFertilizerApplication,19.043732,14.385865,0,1247.595
961,41,5,0.9105435,81.549812,52.727276,297.62445,Subsistence,No,Rice,Yes,805.42588,0,11,UseIrrigationAndFertilizerApplication,18.032787,14.084079,0,1247.595
962,46,6,3.642174,57.324837,59.999996,28.737417,Subsistence,No,Rice,Yes,709.30363,78.985092,11,None,23.979164,15.493399,0,1247.595
964,65,4,3.237488,99,75.583336,463.32217,Subsistence,Yes,RiceMaizeAndVegit,Yes,1225.0824,12.591193,11,ApplyImprovedSeed,18.838587,14.72172,944.44446,1247.595
965,48,7,6.0702901,56.52174,21.549213,37.889458,Diversifier,Yes,RiceAndMaize,Yes,844.02406,0,11,UseIrrigationAndFertilizerApplication,17.393709,13.083929,944.44446,1247.595
966,42,5,2.2257731,91.666664,46.845722,75.479393,Subsistence,No,Rice,Yes,161.08103,0,11,UseIrrigation,26.887747,15.701346,0,1247.595
967,63,5,2.0234301,63.636364,83.75518,141.34415,Subsistence,No,Rice,Yes,1011.271,0,11,UseIrrigationAndFertilizerApplication,23.979715,14.688686,0,1247.595
968,49,9,3.439831,35.416668,60.416668,306.99182,Subsistence,Yes,Rice,Yes,55.042441,1.6689677,11,UseIrrigationAndFertilizerApplication,24.32617,14.589832,0,1247.595
970,58,6,4.2492032,25.324675,73.584908,144.96835,Subsistence,Yes,VegitAndRice,Yes,1277.598,0,11,UseIrrigationAndFertilizerApplication,26.230106,10.771505,0,1247.595
971,49,10,1.0117151,0.17699115,0,558.45764,Subsistence,No,Rice,Yes,88.084336,0,11,None,27.132345,7.1431665,0,1247.595
972,40,4,0.45500001,0,40,831.04395,Subsistence,No,Rice,No,60.874406,0,11,None,20.272249,10.439437,0,1247.595
973,80,3,3.642174,0.2096436,0,130.96573,Diversifier,No,Rice,Yes,219.08727,33.275017,11,None,18.798313,7.0058403,0,1247.595
974,50,8,2.4281161,21.22016,71.428574,155.2644,Subsistence,No,Rice,Yes,153.87184,31.414028,11,None,18.686893,7.0805554,0,1247.595
975,37,5,2.0234301,61.714287,76.397514,345.9472,Subsistence,Yes,Rice,Yes,250.594,0,11,None,26.850933,6.353622,0,1247.595
976,40,5,0.9105435,0,26.740948,434.90509,Diversifier,No,RiceMaizeAndVegit,No,410.95406,0,11,UseIrrigationAndFertilizerApplication,19.837683,6.841404,944.44446,1247.595
977,61,6,1.0117151,14.522821,50,238.20937,Diversifier,No,VegitAndRice,Yes,26.475344,0,11,None,19.837683,7.3443432,0,1247.595
978,62,4,2.3269446,54.077251,47.784534,200.2626,Subsistence,Yes,Rice,Yes,341.23716,0,11,None,18.864561,6.3623762,0,1247.595
979,37,6,1.0117151,52.380951,66.817497,332.10931,Subsistence,Yes,Rice,Yes,29.513148,0,11,None,20.640974,6.319284,0,1247.595
980,52,6,2.2257731,2.9126213,66.666664,185.10422,Subsistence,Yes,Rice,Yes,84.597148,0,11,None,26.799639,6.553556,0,1247.595
981,47,7,1.416401,36.226414,66.666664,187.0939,Subsistence,Yes,Rice,Yes,95.173258,0,11,None,19.099529,6.4641552,0,1247.595
982,47,4,2.0234301,43.596729,59.269794,181.37518,Diversifier,No,VegitAndRice,Yes,508.83778,35.994942,11,ApplyImprovedSeed,26.838354,6.3144779,0,1247.595
983,70,4,2.5292876,0.68965518,22.200199,229.31358,Subsistence,No,Rice,Yes,202.66013,0,11,None,18.700499,7.1601477,0,1247.595
984,37,6,1.9222585,81.993568,48.3559,161.78885,Subsistence,No,Rice,Yes,113.61223,0,11,None,26.850933,6.3144779,0,1247.595
985,41,5,1.7199155,90.410957,20.873714,169.77579,Subsistence,Yes,Rice,Yes,307.35834,0,11,None,18.6731,6.9376163,0,1247.595
986,30,4,2.4281161,2.4390244,76.92308,202.62622,Subsistence,No,Rice,Yes,272.85128,0,11,None,18.838587,6.8028355,0,1247.595
987,61,6,0.50585753,70.66246,49.019608,156.66466,Subsistence,No,Rice,Yes,117.23748,0,11,None,26.745573,7.0998249,0,1247.595
988,56,5,1.618744,0.078926601,17.029972,782.70557,Subsistence,No,Rice,Yes,224.4848,0,11,None,18.825342,7.1197524,0,1247.595
989,38,7,1.821087,2.8208332,25.528811,622.93378,Subsistence,Yes,Rice,Yes,193.31683,0,11,None,18.864561,6.3344793,0,1247.595
990,66,5,2.6304591,0.89585668,66.666664,678.96893,Subsistence,No,Rice,Yes,150.3383,0,11,None,18.825342,6.6493683,0,1247.595
991,65,5,1.416401,0.4223865,37.142857,668.59595,Diversifier,No,RiceAndMaize,Yes,214.57478,26.728561,91,None,31.657511,1.8900648,805.68878,1403.9215
992,75,7,1.618744,1.5432099,46.153847,400.31036,Subsistence,Yes,RiceAndMaize,Yes,275.44744,15.712755,91,ApplyImprovedSeed,31.657511,1.9815508,805.68878,1403.9215
993,70,6,4.2492032,6.2135921,29.466129,121.1992,Subsistence,No,Rice,Yes,176.70358,38.890911,91,None,25.801111,2.0244956,0,1403.9215
994,42,4,0.9105435,56.324471,68.590607,380.22162,Subsistence,No,Rice,Yes,205.50881,0,91,None,18.186281,1.9350412,0,1403.9215
995,57,4,1.416401,74.285713,43.029259,197.68413,Subsistence,Yes,RiceAndMaize,Yes,626.30406,0,91,None,25.764744,1.9764371,805.68878,1403.9215
996,40,5,1.3152295,79.166664,66.666664,255.46872,Subsistence,No,RiceAndMaize,Yes,36.415336,0,91,None,15.495391,1.2724752,805.68878,1403.9215
997,45,6,2.0234301,11.261261,75,219.42937,Subsistence,No,RiceAndMaize,Yes,22.138547,0,91,None,25.359278,2.3398499,805.68878,1403.9215
998,31,3,1.0117151,72.413795,42.13483,229.31358,Subsistence,Yes,RiceAndMaize,Yes,159.888,0,91,CropMultipleTimes,24.66613,1.8900648,805.68878,1403.9215
999,28,3,0.80937201,39.215687,52.747253,441.0827,Subsistence,Yes,Rice,Yes,60.32352,0,91,None,31.654543,2.0244956,0,1403.9215
1000,30,3,0.50585753,11.392406,50,937.02271,Subsistence,No,Rice,Yes,86.058813,0,91,None,23.921051,2.01196,0,1403.9215
1001,39,3,1.1128865,54.782608,0,413.33954,Subsistence,No,Rice,Yes,13.921563,0,91,None,25.764744,2.0714397,0,1403.9215
1003,60,5,2.2257731,65.694221,53.631287,207.90529,Subsistence,No,RiceAndMaize,Yes,160.27298,29.235851,91,None,31.65608,1.9350412,805.68878,1403.9215
1004,48,6,0.60702902,0.27942717,61.666668,589.5517,Subsistence,No,Rice,Yes,87.745094,0,91,None,25.464638,2.2085786,0,1403.9215
1005,33,4,0.60702902,23.076923,19.070118,256.98935,Subsistence,No,Rice,Yes,110.99377,0,91,None,25.513428,2.2085786,0,1403.9215
1006,69,4,0.60702902,37.533512,32.258064,614.46814,Subsistence,No,VegitAndRice,Yes,81.191172,0,91,None,18.805321,2.122117,0,1403.9215
1007,37,6,1.0117151,76.825394,0,311.35248,Subsistence,No,Rice,Yes,750.67531,71.970467,91,None,31.65608,2.0244956,0,1403.9215
1008,38,4,0.80937201,66.666664,57.553425,667.18396,Subsistence,No,Rice,Yes,250.48753,0,91,None,31.654543,1.9350412,0,1403.9215
1009,73,5,0.60702902,50.704224,54.380295,467.85242,Subsistence,Yes,VegitAndRice,Yes,77.291641,0,91,None,16.188538,4.4171572,805.68878,1403.9215
1010,48,6,4.6538892,99.10714,56.798817,336.92252,Subsistence,No,Rice,Yes,909.90725,4.3206229,11,None,25.965414,10.693714,0,1247.595
1011,38,4,1.214058,9.4117651,44.275215,140.02626,Diversifier,No,RiceAndMaize,Yes,230.90788,0,11,UseIrrigationAndFertilizerApplication,27.084026,11.842398,944.44446,1247.595
1012,65,2,5.2609181,99.130432,46.032707,153.01512,Diversifier,No,RiceAndMaize,Yes,3771.7243,0,11,None,17.452291,12.02346,944.44446,1247.595
1013,43,6,12.342923,20.149254,0,21.712847,AgroPastoralist,Yes,Rice,Yes,241.20748,0,11,ApplyImprovedSeed,28.537331,11.972853,0,1247.595
