ageOfTheHouseholdHead	householdSize	farmSize	shareOfHiredLabour	commercializationIndex	totalLabourManDays	farmType	creditaccess	cropChoice	perCapitaIncome	percentNonfarmIncome	topgraphicWetnessIndex	distanceToBigMarket	None	CropMultipleTimes	ApplyFertilizer	ApplyImprovedSeed	UseIrrigationAndFertilizerApplication	UseIrrigation	Other
32	10	17	25	35.55	176.6	 Diversifier	 No	 Rice	2694408	85.33	26.66	52.1	0.16671	0.17958	0.19420	0.04797	0.09215	0.00355	0.31584
28	2	16.55	27	1.17	261.25	 Subsistence	 No	 Maize	1402075	29.23	16.25	24.98	0.01736	0.35248	0.27141	0.22367	0.03556	0.00583	0.09368
26	11	1.47	23	23.83	338.2	 Subsistence	 No	 Maize	2534405	78.27	26.12	35.15	0.41993	0.07944	0.14694	0.22886	0.10304	0.00543	0.01635
24	1	2.5	30	6.25	469.02	 Diversifier	 No	 Rice	1118992	15.45	20.88	6.33	0.35391	0.45144	0.12411	0.02433	0.02596	0.00309	0.01716
30	7	12.1	76	52.34	711.43	 AgroPastoralist	 Yes	 RiceAndMaize	1082068	11.76	20.21	12.14	0.48202	0.26843	0.11218	0.00912	0.06787	0.00654	0.05385
47	2	13.78	82	92.19	584.45	 AgroPastoralist	 Yes	 RiceMaizeAndVegit	2829795	49.38	25.52	57.19	0.13067	0.30129	0.19548	0.18256	0.09470	0.03672	0.05857
37	8	6.49	83	85.94	576.76	 AgroPastoralist	 Yes	 RiceMaizeAndVegit	577443	34.27	14.7	6.09	0.52564	0.06194	0.26197	0.07038	0.02890	0.01092	0.04025
43	3	1.92	89	64.84	969.22	 AgroPastoralist	 Yes	 RiceAndMaize	3051338	76.59	23.77	59.37	0.12340	0.10218	0.48901	0.19307	0.03136	0.00674	0.05424
31	9	13	30	55.47	834.55	 Diversifier	 Yes	 RiceAndMaize	3100570	29.9	21.62	7.54	0.14085	0.64574	0.05750	0.01329	0.07421	0.00953	0.05888
35	2	14.04	20	65.23	588.3	 AgroPastoralist	 Yes	 RiceMaizeAndVegit	1500538	44.68	28.34	45.8	0.42780	0.13419	0.27156	0.13072	0.00771	0.00440	0.02361
36	9	3.34	36	99.22	696.04	 Diversifier	 Yes	 Maize	3211341	10.75	21.02	23.77	0.25694	0.23222	0.18852	0.26261	0.02779	0.01015	0.02176
40	3	2.24	9	84.77	719.12	 Diversifier	 Yes	 RiceAndMaize	1438998	81.63	28.74	38.3	0.52836	0.31661	0.03013	0.08436	0.03722	0.00111	0.00223
34	11	9.65	52	24.22	715.27	 AgroPastoralist	 Yes	 RiceAndMaize	848218	71.22	19.74	29.58	0.36000	0.16731	0.29553	0.00952	0.03405	0.00394	0.12965
25	3	11.26	92	17.97	622.93	 Diversifier	 Yes	 VegitAndRice	2239014	24.86	24.98	62.03	0.02761	0.53060	0.19052	0.15404	0.00598	0.00922	0.08202
46	7	0.63	86	17.19	946.13	 Diversifier	 Yes	 RiceMaizeAndVegit	1759005	80.96	21.29	27.16	0.63173	0.13607	0.06524	0.01251	0.14516	0.00146	0.00783
53	4	3.01	65	10.55	630.63	 Diversifier	 Yes	 Rice	3297496	16.46	31.16	37.33	0.22875	0.17801	0.22596	0.29335	0.03292	0.01167	0.02933
47	10	9.14	45	29.69	515.2	 Diversifier	 Yes	 Rice	2460557	70.88	15.58	30.3	0.13579	0.14245	0.27806	0.01403	0.06700	0.02406	0.33860
33	5	15.71	35	19.53	903.81	 Diversifier	 Yes	 VegitAndRice	2152859	25.53	22.9	46.29	0.07428	0.47578	0.23654	0.13575	0.01294	0.00559	0.05913
29	6	2.82	1	36.33	596	 Diversifier	 Yes	 RiceMaizeAndVegit	3088262	73.57	23.91	9.23	0.50719	0.21094	0.04420	0.01002	0.22052	0.00544	0.00168
55	2	6.3	15	8.59	553.67	 AgroPastoralist	 Yes	 RiceAndMaize	478980	31.24	25.38	34.91	0.73541	0.05998	0.06345	0.06489	0.02429	0.01012	0.04186
53	7	8.88	71	70.7	484.41	 Diversifier	 Yes	 Rice	1599002	38.97	30.29	21.83	0.02000	0.06639	0.15309	0.02017	0.53688	0.06903	0.13444
50	6	15.39	62	57.81	91.95	 Diversifier	 Yes	 VegitAndRice	2497481	66.85	21.69	40.72	0.54692	0.06199	0.31480	0.05255	0.00753	0.00491	0.01129
30	6	7.27	95	57.03	153.52	 AgroPastoralist	 Yes	 VegitAndRice	1426691	10.41	24.65	3.42	0.13453	0.51362	0.14760	0.04375	0.11506	0.02207	0.02337
56	2	7.98	63	96.88	361.29	 AgroPastoralist	 Yes	 RiceAndMaize	3174417	51.06	16.45	50.89	0.69648	0.02943	0.17718	0.04449	0.00920	0.00831	0.03491
48	10	12.23	49	83.2	453.63	 AgroPastoralist	 Yes	 RiceAndMaize	3223649	38.3	25.12	12.63	0.65662	0.01177	0.12755	0.00902	0.12589	0.04167	0.02747
28	5	10.68	10	58.2	357.44	 AgroPastoralist	 Yes	 RiceMaizeAndVegit	1943624	70.21	22.7	61.06	0.83012	0.09567	0.04510	0.01694	0.00320	0.00086	0.00812
49	8	1.4	41	69.14	22.7	 Diversifier	 Yes	 VegitAndRice	1820544	26.54	30.69	19.41	0.17459	0.16979	0.01149	0.23862	0.37759	0.02237	0.00554
43	5	6.69	45	71.48	165.06	 Diversifier	 Yes	 Rice	1463614	63.16	15.17	43.38	0.04864	0.03872	0.83656	0.02673	0.01639	0.00288	0.03009
42	8	14.23	71	28.91	253.55	 AgroPastoralist	 Yes	 RiceAndMaize	1795929	54.09	26.53	7.05	0.81168	0.02276	0.04987	0.02464	0.05932	0.00557	0.02616
44	4	10.1	58	38.28	191.99	 AgroPastoralist	 Yes	 RiceMaizeAndVegit	2595944	27.55	17.25	61.3	0.09899	0.15002	0.34803	0.38893	0.00789	0.00151	0.00464
51	9	5.59	57	5.47	184.3	 AgroPastoralist	 Yes	 RiceMaizeAndVegit	466672	53.08	29.62	26.19	0.45311	0.10308	0.14928	0.03098	0.18000	0.01675	0.06680
35	5	5.21	97	37.5	118.89	 Diversifier	 Yes	 RiceAndMaize	2017471	13.1	16.78	48.23	0.53741	0.03771	0.24026	0.17510	0.00676	0.00172	0.00103
26	7	12.17	17	49.22	307.42	 AgroPastoralist	 Yes	 VegitAndRice	2214398	77.6	28.41	27.64	0.72127	0.15377	0.07479	0.01539	0.00592	0.00182	0.02704
52	1	10.04	42	9.77	207.38	 Diversifier	 Yes	 RiceMaizeAndVegit	1008221	44.01	19	46.05	0.29747	0.31844	0.16698	0.04061	0.06900	0.03417	0.07332
51	8	7.59	31	41.02	372.83	 AgroPastoralist	 Yes	 Maize	2731332	45.35	30.49	5.12	0.31345	0.12972	0.09759	0.06647	0.30823	0.04251	0.04203
43	5	1.02	29	45.31	99.65	 AgroPastoralist	 Yes	 VegitAndRice	1106684	33.93	22.09	55.25	0.17334	0.59793	0.11992	0.08105	0.00616	0.00131	0.02028
28	10	13.26	100	66.02	876.88	 Diversifier	 Yes	 VegitAndRice	958989	35.61	16.11	39.27	0.15707	0.03904	0.70355	0.02196	0.00548	0.00373	0.06917
30	2	9.97	89	67.58	846.09	 Diversifier	 Yes	 RiceMaizeAndVegit	3568271	58.12	29.15	22.55	0.05854	0.11779	0.51507	0.08540	0.10322	0.07233	0.04765
51	9	1.98	81	78.91	892.27	 Diversifier	 Yes	 Maize	1919008	8.73	16.18	62.76	0.29759	0.22785	0.09605	0.08838	0.27948	0.00225	0.00840
39	5	1.6	54	91.8	949.98	 Subsistence	 Yes	 Rice	2854411	69.88	31.7	31.27	0.81478	0.04495	0.08297	0.05344	0.00260	0.00084	0.00043
53	9	16.94	23	96.48	692.19	 Subsistence	 Yes	 RiceAndMaize	2177475	14.11	15.78	40.96	0.03800	0.30571	0.19551	0.24501	0.12514	0.00768	0.08295
36	6	15.13	43	82.42	953.83	 Diversifier	 Yes	 Maize	1340535	83.98	26.59	16.26	0.21104	0.13489	0.37267	0.10589	0.10249	0.04016	0.03286
31	11	3.66	9	72.66	592.15	 Diversifier	 Yes	 VegitAndRice	3309804	24.52	22.5	46.77	0.29831	0.21473	0.25227	0.18671	0.00374	0.00154	0.04270
24	2	8.04	7	65.63	684.49	 Diversifier	 Yes	 RiceAndMaize	602059	59.8	26.73	21.59	0.20135	0.10373	0.48378	0.04033	0.09894	0.04333	0.02854
46	8	16.42	66	0.39	980.76	 Diversifier	 Yes	 RiceAndMaize	1931316	80.29	20.75	41.93	0.60884	0.17259	0.03625	0.02538	0.07433	0.01298	0.06964
42	4	14.1	68	11.33	557.52	 Diversifier	 Yes	 Maize	2792871	1.68	30.22	19.65	0.25993	0.10288	0.31975	0.13880	0.09771	0.05743	0.02349
35	11	5.01	79	19.14	603.69	 Subsistence	 Yes	 RiceMaizeAndVegit	712830	49.05	21.82	38.54	0.60983	0.07298	0.09106	0.16000	0.01237	0.00186	0.05190
26	3	6.17	92	45.7	626.78	 Diversifier	 Yes	 RiceAndMaize	2928258	21.84	24.18	5.6	0.16925	0.60487	0.10067	0.02322	0.06128	0.01640	0.02431
29	9	11.39	4	22.66	669.1	 Diversifier	 Yes	 VegitAndRice	3248265	47.37	23.37	58.16	0.06736	0.33566	0.30609	0.03937	0.02018	0.00996	0.22138
38	2	11.65	18	42.58	519.04	 Subsistence	 Yes	 RiceMaizeAndVegit	515903	17.8	27.67	32.48	0.01727	0.39415	0.11684	0.43453	0.00283	0.00186	0.03251
45	8	3.98	27	8.98	569.06	 Diversifier	 Yes	 Maize	2620560	76.93	17.93	33.94	0.57704	0.19194	0.10414	0.04100	0.02765	0.01159	0.04663
46	4	1.85	34	6.64	857.64	 Diversifier	 Yes	 RiceAndMaize	1549770	3.7	25.92	28.13	0.59131	0.34307	0.00958	0.04532	0.00834	0.00136	0.00102
33	7	11.46	98	87.5	349.75	 Diversifier	 Yes	 VegitAndRice	1709773	19.82	25.25	57.43	0.29764	0.20410	0.21441	0.16854	0.00982	0.00454	0.10096
52	2	8.94	55	84.38	334.36	 Subsistence	 Yes	 VegitAndRice	3395960	79.28	21.42	29.82	0.09470	0.49147	0.08960	0.05291	0.12387	0.01849	0.12895
55	8	7.72	60	89.06	222.77	 Subsistence	 Yes	 RiceMaizeAndVegit	1352843	10.08	31.43	41.2	0.01352	0.15041	0.06819	0.63790	0.00892	0.00299	0.11807
46	6	2.88	62	94.92	95.8	 Diversifier	 Yes	 RiceAndMaize	1894392	82.98	19.34	7.3	0.77653	0.02845	0.00804	0.00918	0.16151	0.01511	0.00118
48	7	16.68	34	68.75	49.63	 Diversifier	 Yes	 RiceAndMaize	1882084	7.05	29.21	39.99	0.58347	0.13344	0.01779	0.11670	0.11320	0.00887	0.02653
50	5	9.59	49	95.31	188.14	 Diversifier	 Yes	 Maize	1217456	62.82	15.64	28.61	0.16963	0.17032	0.25318	0.07773	0.22102	0.05228	0.05584
53	11	7.14	44	58.59	284.34	 Subsistence	 Yes	 VegitAndRice	2965182	30.91	27.4	53.55	0.20105	0.36735	0.10640	0.05769	0.16906	0.00918	0.08927
25	5	6.75	14	67.97	353.59	 Subsistence	 Yes	 VegitAndRice	1660541	50.73	21.96	1.48	0.11097	0.22615	0.45162	0.01086	0.10640	0.01396	0.08004
45	7	11.84	88	1.95	18.85	 Subsistence	 Yes	 Rice	860526	54.42	29.01	47.02	0.68178	0.09679	0.06423	0.05129	0.06599	0.00857	0.03136
51	4	16.23	84	44.92	126.58	 Subsistence	 Yes	 VegitAndRice	3149801	11.42	14.57	14.56	0.00671	0.06851	0.61988	0.01913	0.22033	0.05592	0.00952
27	8	7.33	89	40.23	203.54	 Subsistence	 Yes	 VegitAndRice	442056	58.79	23.44	54.52	0.10983	0.69322	0.05619	0.01927	0.02814	0.00190	0.09144
