,IDnum,ageOfTheHouseholdHead,householdSize,farmSize,shareOfHiredLabour,commercializationIndex,totalLaborManDays,farmType,creditaccess,cropChoice,IfHireLabour,perCapitaIncome,percentNonfarmIncome,wardCode,intensificationStrategies,topgraphicWetnessIndex,distanceToBigMarket,maizePrice,RicePrice,fold
74,831,27,3,1.1128865,60.60606,56.81818,237.22095,Diversifier,No,RiceAndMaize,Yes,527047.63,0,131,CropMultipleTimes,22.468906,60.157692,888.88892,1138.0952,8
75,832,31,3,1.5175725,63.366337,68.181816,66.553658,Subsistence,Yes,Rice,Yes,295857.16,0,131,None,17.382338,63.023586,888.88892,1138.0952,10
76,833,38,4,1.618744,93.888885,83.333336,111.19732,Diversifier,No,VegitAndRice,Yes,1100607.1,70.087608,131,None,17.141176,63.180988,0,1138.0952,2
77,834,65,10,1.7199155,39.790577,76.815086,888.41571,Diversifier,No,RiceAndMaize,Yes,212185.25,0,131,CropMultipleTimes,17.035835,62.961571,888.88892,1138.0952,1
78,835,64,6,1.214058,0,26.31579,177.91571,Diversifier,No,RiceAndMaize,Yes,96311.039,1.4027877,131,CropMultipleTimes,17.687719,62.844769,888.88892,1138.0952,7
79,837,43,11,2.0234301,35,28.53067,296.52618,Diversifier,No,RiceAndMaize,Yes,145443.83,0,131,None,19.29722,62.510551,888.88892,1138.0952,9
80,838,42,5,3.035145,79.310349,53.262318,1223.0059,Subsistence,Yes,RiceAndMaize,Yes,571551,0,61,ApplyImprovedSeed,19.607719,21.22451,861.11108,1167.816,6
81,839,38,5,4.4515462,79.657143,54.328777,196.56091,Subsistence,Yes,Rice,Yes,1356565.4,0,61,CropMultipleTimes,18.157978,24.519924,861.11108,1167.816,6
82,841,32,7,4.097446,100,75.714287,42.953587,Subsistence,No,RiceAndMaize,Yes,181022.14,0,61,None,17.996609,22.828434,861.11108,1167.816,6
83,842,70,5,1.618744,6.818182,42.025318,81.544701,Diversifier,No,RiceAndMaize,Yes,112444.83,0,61,None,17.9793,24.862364,861.11108,1167.816,5
84,843,74,4,3.439831,59.92218,47.080978,74.712975,Subsistence,No,RiceAndMaize,Yes,219465.5,6.0128555,61,ApplyImprovedSeed,30.07728,15.747684,861.11108,1167.816,6
85,844,39,5,2.0234301,60,46.544182,126.02363,Subsistence,No,RiceAndMaize,Yes,417948.25,6.9814334,61,None,18.739361,22.77095,861.11108,1167.816,10
86,845,49,5,0.80937201,0.75,39.215687,494.21033,Diversifier,No,RiceMaizeAndVegit,Yes,223620.7,0,61,CropMultipleTimes,19.933668,23.517136,861.11108,1167.816,2
87,846,45,9,5.0585752,1.268797,70.571632,280.44788,Diversifier,Yes,RiceAndMaize,Yes,46446.355,0,61,CropMultipleTimes,18.245523,17.551397,861.11108,1167.816,5
